edate,countryname,partyname,partyabbrev,total,voteper,uncoded,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,eyear,label
1944-09-17,Sweden,Communist Party of Sweden,SKP,52,10.3,NA,1,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944,SKP:1944
1944-09-17,Sweden,Social Democratic Labour Party,SAP,90,46.5,NA,1,0,0,2,0,5,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,3,0,0,0,2,0,0,0,0,5,25,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1944,SAP:1944
1944-09-17,Sweden,People’s Party,FP,63,12.9,NA,2,0,0,5,0,1,2,0,0,0,8,4,0,0,2,0,1,0,0,4,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,8,0,3,0,0,0,4,0,0,3,3,0,0,0,3,0,0,0,1944,FP:1944
1944-09-17,Sweden,Right Party,NA,57,15.8,NA,1,0,0,1,0,0,2,0,0,0,4,0,0,0,1,0,1,0,0,10,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,3,0,4,0,2,0,6,0,0,0,0,0,0,0,2,5,0,2,1944,NA:1944
1944-09-17,Sweden,Agrarian Party,NA,21,13.6,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1944,NA:1944
1948-09-19,Sweden,Communist Party of Sweden,SKP,50,6.312,NA,1,0,5,0,0,5,0,0,0,0,2,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,1,0,0,0,0,3,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1948,SKP:1948
1948-09-19,Sweden,Social Democratic Labour Party,SAP,120,46.132,NA,1,0,0,0,0,2,2,1,0,0,2,6,0,0,0,0,0,0,0,4,0,5,0,4,0,0,10,0,3,0,3,0,3,0,0,0,4,3,22,0,9,0,0,0,0,0,0,0,1,0,0,0,23,0,0,1,1948,SAP:1948
1948-09-19,Sweden,People’s Party,FP,87,22.749,NA,2,0,0,1,1,3,1,2,0,0,12,3,0,0,0,0,1,0,0,9,3,2,0,0,0,0,3,0,1,0,0,0,3,0,0,0,0,5,1,1,3,0,0,0,2,0,0,3,2,0,0,0,3,0,0,2,1948,FP:1948
1948-09-19,Sweden,Right Party,NA,34,12.343,NA,0,0,0,1,0,1,0,0,0,0,3,1,0,0,1,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,NA:1948
1948-09-19,Sweden,Agrarian Party,NA,140,12.385,NA,1,0,0,4,0,1,0,1,0,0,2,3,0,0,0,0,4,0,0,10,2,2,0,0,3,0,4,0,0,6,3,0,3,0,0,0,0,3,16,0,8,0,2,0,5,0,0,1,2,0,0,0,44,0,0,2,1948,NA:1948
1952-09-21,Sweden,Communist Party of Sweden,SKP,91,4.34,NA,3,4,3,0,3,30,2,0,1,2,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,2,0,3,0,0,0,0,1,7,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1952,SKP:1952
1952-09-21,Sweden,Social Democratic Labour Party,SAP,120,46.047,NA,3,0,0,4,0,3,2,0,0,0,3,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,5,1,0,5,0,0,0,2,4,21,0,10,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,1952,SAP:1952
1952-09-21,Sweden,People’s Party,FP,106,24.442,NA,1,0,0,1,0,1,1,0,0,0,4,3,0,0,0,0,1,0,0,8,2,1,0,0,0,0,5,1,1,1,0,0,9,0,0,0,0,5,18,10,4,0,0,0,10,0,1,0,3,0,0,0,3,0,0,1,1952,FP:1952
1952-09-21,Sweden,Right Party,NA,122,14.373,NA,0,0,0,0,0,0,0,0,0,0,11,5,0,0,6,0,0,0,0,12,6,0,0,0,0,0,7,0,0,0,0,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,NA:1952
1952-09-21,Sweden,Agrarian Party,NA,64,10.735,NA,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,2,3,0,0,2,0,0,1,2,3,4,0,0,7,0,0,1,1,3,6,1,5,0,1,0,1,0,0,0,2,0,0,0,12,0,0,0,1952,NA:1952
1956-09-26,Sweden,Communist Party of Sweden,SKP,119,5.001,NA,1,0,0,0,5,11,0,0,0,0,0,9,0,0,0,0,1,0,0,0,7,4,0,0,1,1,8,0,0,0,8,5,1,0,0,0,2,13,15,0,5,0,0,0,0,0,0,0,0,0,1,0,3,0,0,5,1956,SKP:1956
1956-09-26,Sweden,Social Democratic Labour Party,SAP,163,44.581,NA,1,0,0,0,0,5,4,0,0,0,4,6,0,0,0,0,0,0,0,0,4,9,1,0,2,0,9,4,4,3,3,0,6,0,0,0,6,5,40,0,14,0,0,0,0,0,0,0,1,0,2,0,12,0,0,6,1956,SAP:1956
1956-09-26,Sweden,People’s Party,FP,146,23.807,NA,1,0,0,1,3,1,2,1,0,0,8,7,0,2,2,0,5,0,0,5,12,3,1,1,0,0,5,1,0,0,0,0,5,0,0,1,0,5,27,0,14,0,0,0,0,0,2,0,2,0,0,0,8,1,0,9,1956,FP:1956
1956-09-26,Sweden,Right Party,NA,118,17.108,NA,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,0,9,0,0,33,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1956,NA:1956
1956-09-26,Sweden,Agrarian Party,NA,110,9.450000000000001,NA,1,0,0,2,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,3,8,0,0,0,2,0,2,2,3,2,0,0,4,0,0,1,1,2,6,0,8,0,1,0,3,0,1,0,1,0,0,0,40,0,0,3,1956,NA:1956
1958-06-01,Sweden,Communist Party of Sweden,SKP,429,3.364,NA,0,0,0,0,44,1,0,0,0,0,0,2,0,0,13,0,0,0,0,0,1,12,1,0,0,0,16,0,0,26,2,0,12,0,0,8,62,17,113,0,34,0,0,0,17,0,0,0,0,0,0,0,0,0,0,13,1958,SKP:1958
1958-06-01,Sweden,Social Democratic Labour Party,SAP,600,46.216,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,12,31,7,3,0,8,0,17,5,12,26,0,0,4,0,0,0,0,19,135,1,48,0,0,0,0,0,0,6,0,0,2,0,29,0,0,0,1958,SAP:1958
1958-06-01,Sweden,People’s Party,FP,51,18.209,NA,0,0,0,1,1,2,2,1,0,0,4,1,0,0,1,0,1,0,0,3,9,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,5,2,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1958,FP:1958
